Actual,xgboost,linear,l1,l2,poly2,poly3,regtree,forest
2002.0,2004.2494,2343.972002356486,2290.6861474083144,2276.8302173129523,1948.6422193126054,2003.9419784545898,2004.25,2004.0175607170604
5024.0,5013.995,4930.39235255906,4939.350032842734,4914.86835462286,4893.580861877301,5022.047214508057,5014.0,4977.2192110389615
2721.0,2866.2622,2545.898242197638,2587.677558972662,2612.5085485202426,2737.8184501334326,2877.568073272705,2866.25,2866.8063452380948
3906.0,3748.3347,3822.1991722356706,3903.052788469997,3929.594470776012,3679.568707202794,3746.6431617736816,3748.3333333333335,3739.9773923764146
1489.0,1586.0067,1345.3888646794912,1313.1954373313893,1311.737245217355,1532.1329477584804,1621.0257263183594,1586.0,1585.8294999999998
3110.0,3090.4973,3173.1927933961615,3202.610834526369,3233.3798217355998,2892.5485464041703,3004.577262878418,3090.5,3085.7692499999994
2941.0,2939.9932,3013.4031184033265,3000.168968964168,3009.9238959651175,2924.369761042588,2928.1782875061035,2940.0,2942.1348174603168
1872.0,1870.3318,1776.933268493336,1750.1226995523812,1762.3341253649705,1909.0256675641867,1792.959114074707,1870.3333333333333,1867.1637976190475
2492.0,2380.9976,2647.8448067455956,2717.0770438429736,2799.321711895047,2251.581191315723,2399.7289123535156,2381.0,2391.695142857143
1893.0,1870.3318,1776.933268493336,1750.1226995523812,1762.3341253649705,1909.0256675641867,1792.959114074707,1870.3333333333333,1867.1637976190475
2872.0,3009.3298,2910.938135027931,2926.050166340832,2974.4567912226594,3031.3781953029684,2978.1353874206543,3009.3333333333335,3010.4869841269833
2332.0,2316.336,2198.623267231904,2192.4034370919708,2168.7027264905664,2445.6815674689715,2282.0190391540527,2316.3333333333335,2312.3172539682546
3480.0,3784.6008,3812.481494036614,3871.3471586712003,3891.3948633165546,3696.10414590867,3784.787609100342,3784.6,3785.465627499136
2357.0,2371.0132,2750.3097901209894,2791.1958464663094,2834.7888166375033,2550.7526880464866,2401.1002769470215,2371.0,2381.899166666667
2959.0,2942.144,3061.7120748595953,3066.2579615339546,3069.8964867857976,2966.2210733162938,2934.7497787475586,2942.1428571428573,2944.3193576839826
