,0
CDSCode,17640551730035.0
Year,16.0
CDSCode,17640551736008.0
Year,16.0
CDSCode,17769761730050.0
Year,16.0
CDSCode,17769761730175.0
Year,16.0
CDSCode,17769761737006.0
Year,16.0
CDSCode,18641390131953.0
Year,16.0
CDSCode,18641391833805.0
Year,16.0
CDSCode,18641391833813.0
Year,16.0
CDSCode,18747401895028.0
Year,16.0
CDSCode,18750361833409.0
Year,16.0
CDSCode,19101990121822.0
Year,16.0
CDSCode,19101990121897.0
Year,16.0
CDSCode,19101990121905.0
Year,16.0
CDSCode,19101990121921.0
Year,16.0
CDSCode,19101990121939.0
Year,16.0
CDSCode,19101990121954.0
Year,16.0
CDSCode,19101990134346.0
Year,16.0
CDSCode,19101990135582.0
Year,16.0
CDSCode,19101990136119.0
Year,16.0
CDSCode,19101990138669.0
Year,16.0
CDSCode,19101990139345.0
Year,16.0
CDSCode,19101990140681.0
Year,16.0
CDSCode,19101990140756.0
Year,16.0
CDSCode,19101990140962.0
Year,16.0
CDSCode,19101991933399.0
Year,16.0
CDSCode,19101991995869.0
Year,16.0
CDSCode,19101991996214.0
Year,16.0
CDSCode,19642121930056.0
Year,16.0
CDSCode,19642121930346.0
Year,16.0
CDSCode,19642121930361.0
Year,16.0
CDSCode,19642121931641.0
Year,16.0
CDSCode,19642121931880.0
Year,16.0
CDSCode,19642121933159.0
Year,16.0
CDSCode,19642121995596.0
Year,16.0
CDSCode,19642460100081.0
Year,16.0
CDSCode,19642460108407.0
Year,16.0
CDSCode,19642460111872.0
Year,16.0
CDSCode,19642460126003.0
Year,16.0
CDSCode,19642461930213.0
Year,16.0
CDSCode,19642461931732.0
Year,16.0
CDSCode,19642461936624.0
Year,16.0
CDSCode,19642461937051.0
Year,16.0
CDSCode,19642461995398.0
Year,16.0
CDSCode,19642461995406.0
Year,16.0
CDSCode,19642461995844.0
Year,16.0
CDSCode,19642461995968.0
Year,16.0
CDSCode,19642461996537.0
Year,16.0
CDSCode,19642461996644.0
Year,16.0
CDSCode,19642611930288.0
Year,16.0
CDSCode,19642791930528.0
Year,16.0
CDSCode,19642791931765.0
Year,16.0
CDSCode,19642791933449.0
Year,16.0
CDSCode,19642871930601.0
Year,16.0
CDSCode,19642871936384.0
Year,16.0
CDSCode,19642871938166.0
Year,16.0
CDSCode,19642871996479.0
Year,16.0
CDSCode,19642951930676.0
Year,16.0
CDSCode,19642951930700.0
Year,16.0
CDSCode,19642951936491.0
Year,16.0
CDSCode,19643031930775.0
Year,16.0
CDSCode,19643031935618.0
Year,16.0
CDSCode,19643031938190.0
Year,16.0
CDSCode,19643031995679.0
Year,16.0
CDSCode,19643111930981.0
Year,16.0
CDSCode,19643111931021.0
Year,16.0
CDSCode,19643290130963.0
Year,16.0
CDSCode,19643291931088.0
Year,16.0
CDSCode,19643291937598.0
Year,16.0
CDSCode,19643291937739.0
Year,16.0
CDSCode,19643291995893.0
Year,16.0
CDSCode,19643370131573.0
Year,16.0
CDSCode,19643371931187.0
Year,16.0
CDSCode,19643371931237.0
Year,16.0
CDSCode,19643371933332.0
Year,16.0
CDSCode,19643371995877.0
Year,16.0
CDSCode,19643371996230.0
Year,16.0
CDSCode,19643520118521.0
Year,16.0
CDSCode,19643520128488.0
Year,16.0
CDSCode,19643520128496.0
Year,16.0
CDSCode,19643521930239.0
Year,16.0
CDSCode,19643521933951.0
Year,16.0
CDSCode,19643521934926.0
Year,16.0
CDSCode,19643521935048.0
Year,16.0
CDSCode,19643781930312.0
Year,16.0
CDSCode,19643781931666.0
Year,16.0
CDSCode,19643781995927.0
Year,16.0
CDSCode,19643941931807.0
Year,16.0
CDSCode,19643941931823.0
Year,16.0
CDSCode,19644361931617.0
Year,16.0
CDSCode,19644361932086.0
Year,16.0
CDSCode,19644361936418.0
Year,16.0
CDSCode,19644361938372.0
Year,16.0
CDSCode,19644441932201.0
Year,16.0
CDSCode,19644441932656.0
Year,16.0
CDSCode,19644510135335.0
Year,16.0
CDSCode,19644511931625.0
Year,16.0
CDSCode,19644511932441.0
Year,16.0
CDSCode,19644511939164.0
Year,16.0
CDSCode,19644690128736.0
Year,16.0
CDSCode,19644690134858.0
Year,16.0
CDSCode,19644690139535.0
Year,16.0
CDSCode,19644691932482.0
Year,16.0
CDSCode,19644691936079.0
Year,16.0
CDSCode,19645191930320.0
Year,16.0
CDSCode,19645191932664.0
Year,16.0
CDSCode,19645191932680.0
Year,16.0
CDSCode,19645191937481.0
Year,16.0
CDSCode,19645191938919.0
Year,16.0
CDSCode,19645191995661.0
Year,16.0
CDSCode,19645191996123.0
Year,16.0
CDSCode,19645271932698.0
Year,16.0
CDSCode,19645271932706.0
Year,16.0
CDSCode,19645351930353.0
Year,16.0
CDSCode,19645351932763.0
Year,16.0
CDSCode,19645681932144.0
Year,16.0
CDSCode,19645681933472.0
Year,16.0
CDSCode,19645681933530.0
Year,16.0
CDSCode,19645681934082.0
Year,16.0
CDSCode,19645681996131.0
Year,16.0
CDSCode,19645681996156.0
Year,16.0
CDSCode,19645761933597.0
Year,16.0
CDSCode,19645761939677.0
Year,16.0
CDSCode,19645920100354.0
Year,16.0
CDSCode,19646341934231.0
Year,16.0
CDSCode,19646341934249.0
Year,16.0
CDSCode,19646341936046.0
Year,16.0
CDSCode,19646341996529.0
Year,16.0
CDSCode,19646341996586.0
Year,16.0
CDSCode,19646591934611.0
Year,16.0
CDSCode,19646831930080.0
Year,16.0
CDSCode,19646831931260.0
Year,16.0
CDSCode,19646831931781.0
Year,16.0
CDSCode,19646911996438.0
Year,16.0
CDSCode,19647090100602.0
Year,16.0
CDSCode,19647091996313.0
Year,16.0
CDSCode,19647250101741.0
Year,16.0
CDSCode,19647250125153.0
Year,16.0
CDSCode,19647250127381.0
Year,16.0
CDSCode,19647250131938.0
Year,16.0
CDSCode,19647250132324.0
Year,16.0
CDSCode,19647250135525.0
Year,16.0
CDSCode,19647251934470.0
Year,16.0
CDSCode,19647251934678.0
Year,16.0
CDSCode,19647251935758.0
Year,16.0
CDSCode,19647251936947.0
Year,16.0
CDSCode,19647251937176.0
Year,16.0
CDSCode,19647251939875.0
