School Code ,School Name ,Grade,# of English Language Arts (ELA) Test Takers,ELA -  # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient,MSAA - # of English Language Arts (ELA) Test Takers,MSAA - ELA -  # Level 1,MSAA - ELA - # Level 2,MSAA - ELA - # Level 3,MSAA - ELA - # Level 4,MSAA - ELA # Proficient,MSAA - ELA - % Level 1,MSAA - ELA - % Level 2,MSAA - ELA - % Level 3,MSAA - ELA - % Level 4,MSAA - ELA - % Proficient,MSAA - # of Math Test Takers,MSAA - Math -  # Level 1,MSAA - Math - # Level 2,MSAA - Math - # Level 3,MSAA - Math - # Level 4,MSAA - Math # Proficient,MSAA - Math - % Level 1,MSAA - Math - % Level 2,MSAA - Math - % Level 3,MSAA - Math - % Level 4,MSAA - Math - % Proficient
246,Hardy Middle School,6,153,7,14,30,66,36,102,4.58E-02,9.15E-02,0.196,0.431,0.235,0.667,153,11,26,37,67,12,79,7.19E-02,0.17,0.242,0.438,7.84E-02,0.516,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
246,Hardy Middle School,7,138,4,20,20,55,39,94,2.90E-02,0.145,0.145,0.399,0.283,0.681,138,4,27,51,39,17,56,2.90E-02,0.196,0.37,0.283,0.123,0.406,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
246,Hardy Middle School,8,134,10,12,20,59,33,92,7.46E-02,8.96E-02,0.149,0.44,0.246,0.687,133,28,25,20,51,9,60,0.211,0.188,0.15,0.383,6.77E-02,0.451,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
246,Hardy Middle School,ALL,425,21,46,70,180,108,288,4.94E-02,0.108,0.165,0.424,0.254,0.678,424,43,78,108,157,38,195,0.101,0.184,0.255,0.37,8.96E-02,0.46,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
247,C.W. Harris Elementary School,3,31,19,4,6,2,0,2,0.613,0.129,0.194,6.45E-02,0,6.45E-02,31,6,9,8,7,1,8,0.194,0.29,0.258,0.226,3.23E-02,0.258,.,,,,,,,,,,,.,,,,,,,,,,
247,C.W. Harris Elementary School,4,22,12,4,3,3,0,3,0.545,0.182,0.136,0.136,0,0.136,22,10,7,4,1,0,1,0.455,0.318,0.182,4.55E-02,0,4.55E-02,.,,,,,,,,,,,.,,,,,,,,,,
247,C.W. Harris Elementary School,5,34,15,12,4,3,0,3,0.441,0.353,0.118,8.82E-02,0,8.82E-02,34,8,17,7,2,0,2,0.235,0.5,0.206,5.88E-02,0,5.88E-02,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
247,C.W. Harris Elementary School,ALL,87,46,20,13,8,0,8,0.529,0.23,0.149,9.20E-02,0,9.20E-02,87,24,33,19,10,1,11,0.276,0.379,0.218,0.115,1.15E-02,0.126,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
249,Hendley Elementary School,3,39,24,8,5,2,0,2,0.615,0.205,0.128,5.13E-02,0,5.13E-02,39,13,16,6,4,0,4,0.333,0.41,0.154,0.103,0,0.103,.,,,,,,,,,,,.,,,,,,,,,,
249,Hendley Elementary School,4,56,21,14,13,8,0,8,0.375,0.25,0.232,0.143,0,0.143,56,12,9,14,20,1,21,0.214,0.161,0.25,0.357,1.79E-02,0.375,.,,,,,,,,,,,.,,,,,,,,,,
249,Hendley Elementary School,5,47,16,20,9,2,0,2,0.34,0.426,0.191,4.26E-02,0,4.26E-02,47,19,18,6,4,0,4,0.404,0.383,0.128,8.51E-02,0,8.51E-02,.,,,,,,,,,,,.,,,,,,,,,,
249,Hendley Elementary School,ALL,142,61,42,27,12,0,12,0.43,0.296,0.19,8.45E-02,0,8.45E-02,142,44,43,26,28,1,29,0.31,0.303,0.183,0.197,7.04E-03,0.204,.,,,,,,,,,,,.,,,,,,,,,,
251,Houston Elementary School,3,30,15,8,5,2,0,2,0.5,0.267,0.167,6.67E-02,0,6.67E-02,30,6,11,10,2,1,3,0.2,0.367,0.333,6.67E-02,3.33E-02,0.1,.,,,,,,,,,,,.,,,,,,,,,,
251,Houston Elementary School,4,24,5,7,10,2,0,2,0.208,0.292,0.417,8.33E-02,0,8.33E-02,24,3,10,7,4,0,4,0.125,0.417,0.292,0.167,0,0.167,.,,,,,,,,,,,.,,,,,,,,,,
251,Houston Elementary School,5,38,7,11,17,3,0,3,0.184,0.289,0.447,7.89E-02,0,7.89E-02,38,12,19,5,2,0,2,0.316,0.5,0.132,5.26E-02,0,5.26E-02,.,,,,,,,,,,,.,,,,,,,,,,
251,Houston Elementary School,ALL,92,27,26,32,7,0,7,0.293,0.283,0.348,7.61E-02,0,7.61E-02,92,21,40,22,8,1,9,0.228,0.435,0.239,8.70E-02,1.09E-02,9.78E-02,.,,,,,,,,,,,.,,,,,,,,,,
252,Hyde-Addison Elementary School @ Meyer,3,47,6,6,6,20,9,29,0.128,0.128,0.128,0.426,0.191,0.617,47,5,2,9,21,10,31,0.106,4.26E-02,0.191,0.447,0.213,0.66,.,,,,,,,,,,,.,,,,,,,,,,
252,Hyde-Addison Elementary School @ Meyer,4,39,2,4,6,19,8,27,5.13E-02,0.103,0.154,0.487,0.205,0.692,39,4,5,6,23,1,24,0.103,0.128,0.154,0.59,2.56E-02,0.615,.,,,,,,,,,,,.,,,,,,,,,,
252,Hyde-Addison Elementary School @ Meyer,5,32,3,4,10,11,4,15,9.38E-02,0.125,0.312,0.344,0.125,0.469,32,3,3,6,13,7,20,9.38E-02,9.38E-02,0.188,0.406,0.219,0.625,.,,,,,,,,,,,.,,,,,,,,,,
252,Hyde-Addison Elementary School @ Meyer,ALL,118,11,14,22,50,21,71,9.32E-02,0.119,0.186,0.424,0.178,0.602,118,12,10,21,57,18,75,0.102,8.47E-02,0.178,0.483,0.153,0.636,.,,,,,,,,,,,.,,,,,,,,,,
254,Janney Elementary School,3,105,2,2,14,76,11,87,1.90E-02,1.90E-02,0.133,0.724,0.105,0.829,105,2,1,11,65,26,91,1.90E-02,9.52E-03,0.105,0.619,0.248,0.867,.,,,,,,,,,,,.,,,,,,,,,,
254,Janney Elementary School,4,117,1,2,7,61,46,107,8.55E-03,1.71E-02,5.98E-02,0.521,0.393,0.915,117,0,2,14,88,13,101,0,1.71E-02,0.12,0.752,0.111,0.863,.,,,,,,,,,,,.,,,,,,,,,,
254,Janney Elementary School,5,99,0,1,10,65,23,88,0,1.01E-02,0.101,0.657,0.232,0.889,99,0,9,18,50,22,72,0,9.09E-02,0.182,0.505,0.222,0.727,.,,,,,,,,,,,.,,,,,,,,,,
254,Janney Elementary School,ALL,321,3,5,31,202,80,282,9.35E-03,1.56E-02,9.66E-02,0.629,0.249,0.879,321,2,12,43,203,61,264,6.23E-03,3.74E-02,0.134,0.632,0.19,0.822,.,,,,,,,,,,,.,,,,,,,,,,
257,Ketcham Elementary School,3,40,12,12,8,8,0,8,0.3,0.3,0.2,0.2,0,0.2,40,5,9,10,15,1,16,0.125,0.225,0.25,0.375,2.50E-02,0.4,.,,,,,,,,,,,.,,,,,,,,,,
257,Ketcham Elementary School,4,30,2,10,13,5,0,5,6.67E-02,0.333,0.433,0.167,0,0.167,30,2,3,13,12,0,12,6.67E-02,0.1,0.433,0.4,0,0.4,.,,,,,,,,,,,.,,,,,,,,,,
257,Ketcham Elementary School,5,41,6,11,16,8,0,8,0.146,0.268,0.39,0.195,0,0.195,41,2,11,17,11,0,11,4.88E-02,0.268,0.415,0.268,0,0.268,.,,,,,,,,,,,.,,,,,,,,,,
257,Ketcham Elementary School,ALL,111,20,33,37,21,0,21,0.18,0.297,0.333,0.189,0,0.189,111,9,23,40,38,1,39,8.11E-02,0.207,0.36,0.342,9.01E-03,0.351,.,,,,,,,,,,,.,,,,,,,,,,
