,,,DATA AS OF: August 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,




School Code ,School Name ,Grade,# of English Language Arts (ELA) Test Takers,ELA -  # Level 1,ELA - # Level 2,ELA - # Level 3,ELA - # Level 4,ELA - # Level 5,ELA # Proficient,ELA - % Level 1,ELA - % Level 2,ELA - % Level 3,ELA - % Level 4,ELA - % Level 5,ELA - % Proficient,# Math Test Takers,Math - # Level 1,Math - # Level 2,Math - # Level 3,Math - # Level 4,Math - # Level 5,Math - # Proficient,Math - % Level 1,Math - % Level 2,Math - % Level 3,Math - % Level 4,Math - % Level 5,Math - % Proficient,MSAA - # of English Language Arts (ELA) Test Takers,MSAA - ELA -  # Level 1,MSAA - ELA - # Level 2,MSAA - ELA - # Level 3,MSAA - ELA - # Level 4,MSAA - ELA # Proficient,MSAA - ELA - % Level 1,MSAA - ELA - % Level 2,MSAA - ELA - % Level 3,MSAA - ELA - % Level 4,MSAA - ELA - % Proficient,MSAA - # of Math Test Takers,MSAA - Math -  # Level 1,MSAA - Math - # Level 2,MSAA - Math - # Level 3,MSAA - Math - # Level 4,MSAA - Math # Proficient,MSAA - Math - % Level 1,MSAA - Math - % Level 2,MSAA - Math - % Level 3,MSAA - Math - % Level 4,MSAA - Math - % Proficient
219,Bunker Hill Elementary School,05,18,3,6,5,4,0,4,0.167,0.333,0.278,0.222,0.000,0.222,18,3,6,5,4,0,4,0.167,0.333,0.278,0.222,0.000,0.222,.,,,,,,,,,,,.,,,,,,,,,,
219,Bunker Hill Elementary School,ALL,67,13,25,15,12,2,14,0.194,0.373,0.224,0.179,2.9850746268656716E-2,0.209,67,16,21,16,14,0,14,0.239,0.313,0.239,0.209,0.000,0.209,.,,,,,,,,,,,.,,,,,,,,,,
220,Burroughs Elementary School,03,30,5,4,10,9,2,11,0.167,0.133,0.333,0.300,6.6666666666666666E-2,0.367,30,4,3,11,10,2,12,0.133,0.100,0.367,0.333,6.6666666666666666E-2,0.400,.,,,,,,,,,,,.,,,,,,,,,,
220,Burroughs Elementary School,04,38,4,14,11,7,2,9,0.105,0.368,0.289,0.184,5.2631578947368418E-2,0.237,38,4,7,14,13,0,13,0.105,0.184,0.368,0.342,0.000,0.342,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
220,Burroughs Elementary School,05,19,4,7,6,2,0,2,0.211,0.368,0.316,0.105,0.000,0.105,19,6,3,7,3,0,3,0.316,0.158,0.368,0.158,0.000,0.158,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
220,Burroughs Elementary School,ALL,87,13,25,27,18,4,22,0.149,0.287,0.310,0.207,4.5977011494252873E-2,0.253,87,14,13,32,26,2,28,0.161,0.149,0.368,0.299,2.2988505747126436E-2,0.322,n < 10,,,,,,,,,,,n < 10,,,,,,,,,,
221,Burrville Elementary School,03,25,7,8,5,5,0,5,0.280,0.320,0.200,0.200,0.000,0.200,25,9,3,7,6,0,6,0.360,0.120,0.280,0.240,0.000,0.240,.,,,,,,,,,,,.,,,,,,,,,,
221,Burrville Elementary School,04,33,4,4,9,14,2,16,0.121,0.121,0.273,0.424,6.0606060606060608E-2,0.485,33,7,10,6,10,0,10,0.212,0.303,0.182,0.303,0.000,0.303,.,,,,,,,,,,,.,,,,,,,,,,
221,Burrville Elementary School,05,30,3,7,10,9,1,10,0.100,0.233,0.333,0.300,3.3333333333333333E-2,0.333,30,0,11,12,7,0,7,0.000,0.367,0.400,0.233,0.000,0.233,.,,,,,,,,,,,.,,,,,,,,,,
221,Burrville Elementary School,ALL,88,14,19,24,28,3,31,0.159,0.216,0.273,0.318,3.4090909090909088E-2,0.352,88,16,24,25,23,0,23,0.182,0.273,0.284,0.261,0.000,0.261,.,,,,,,,,,,,.,,,,,,,,,,
224,Cleveland Elementary School,03,38,13,10,10,5,0,5,0.342,0.263,0.263,0.132,0.000,0.132,38,4,5,16,13,0,13,0.105,0.132,0.421,0.342,0.000,0.342,.,,,,,,,,,,,.,,,,,,,,,,
224,Cleveland Elementary School,04,33,9,7,8,9,0,9,0.273,0.212,0.242,0.273,0.000,0.273,33,6,8,13,6,0,6,0.182,0.242,0.394,0.182,0.000,0.182,.,,,,,,,,,,,.,,,,,,,,,,
224,Cleveland Elementary School,05,37,7,7,11,10,2,12,0.189,0.189,0.297,0.270,5.4054054054054057E-2,0.324,37,4,14,9,10,0,10,0.108,0.378,0.243,0.270,0.000,0.270,.,,,,,,,,,,,.,,,,,,,,,,
224,Cleveland Elementary School,ALL,108,29,24,29,24,2,26,0.269,0.222,0.269,0.222,1.8518518518518517E-2,0.241,108,14,27,38,29,0,29,0.130,0.250,0.352,0.269,0.000,0.269,.,,,,,,,,,,,.,,,,,,,,,,
227,H.D. Cooke Elementary School,03,47,11,7,14,15,0,15,0.234,0.149,0.298,0.319,0.000,0.319,47,2,2,24,14,5,19,4.2553191489361701E-2,4.2553191489361701E-2,0.511,0.298,0.106,0.404,.,,,,,,,,,,,.,,,,,,,,,,
227,H.D. Cooke Elementary School,04,42,3,8,9,16,6,22,7.1428571428571425E-2,0.190,0.214,0.381,0.143,0.524,43,2,8,15,15,3,18,4.6511627906976744E-2,0.186,0.349,0.349,6.9767441860465115E-2,0.419,.,,,,,,,,,,,.,,,,,,,,,,
227,H.D. Cooke Elementary School,05,39,4,14,9,12,0,12,0.103,0.359,0.231,0.308,0.000,0.308,40,2,10,10,18,0,18,0.050,0.250,0.250,0.450,0.000,0.450,.,,,,,,,,,,,.,,,,,,,,,,
