CDSCode,County,District,School,City,Charter,Virtual,Magnet,Latitude,Longitude,Public Yes/No,Percent,M1,M2,M3,M4,M5,M6,M7,F1,F2,F3,F4,F5,F6,F7
1612590111856.0,Alameda,Oakland Unified,AIMS College Prep High,Oakland,Y,N,N,37.811503,-122.24905,Y,0.85,0.0,0.273076923076923,0.0,0.0076923076923076,0.0961538461538461,0.0807692307692307,0.0192307692307692,0.0,0.3076923076923077,0.0,0.0038461538461538,0.0807692307692307,0.1038461538461538,0.0115384615384615
1612590114868.0,Alameda,Oakland Unified,Oakland Charter High,Oakland,Y,N,N,37.785856,-122.21961,Y,0.83,0.0,0.2831460674157303,0.0,0.0089887640449438,0.2292134831460674,0.0247191011235955,0.0089887640449438,0.0,0.197752808988764,0.0022471910112359,0.0067415730337078,0.2022471910112359,0.0247191011235955,0.0089887640449438
1612590115238.0,Alameda,Oakland Unified,ARISE High,Oakland,Y,N,N,37.776162,-122.22506,Y,0.933,0.0,0.0072992700729927,0.0,0.0218978102189781,0.3868613138686131,0.0072992700729927,0.0036496350364963,0.0,0.0072992700729927,0.0,0.0036496350364963,0.5109489051094891,0.0145985401459854,0.0
1612590115667.0,Alameda,Oakland Unified,Oakland International High,Oakland,N,N,N,37.833534,-122.26018,Y,0.918,0.0,0.0972222222222222,0.0,0.0,0.4,0.025,0.0388888888888888,0.0,0.0944444444444444,0.0027777777777777,0.0,0.2527777777777777,0.0166666666666666,0.0333333333333333
1612590118653.0,Alameda,Oakland Unified,Ralph J. Bunche Continuation High,Oakland,N,N,N,37.813200,-122.28784,Y,0.952,0.0,0.0208333333333333,0.0104166666666666,0.0,0.1354166666666666,0.3645833333333333,0.0208333333333333,0.0,0.0104166666666666,0.0,0.0,0.125,0.28125,0.0
1612590119859.0,Alameda,Oakland Unified,Gateway to College High at Laney College,Oakland,N,N,N,37.797155,-122.26377,Y,0.568,0.0106382978723404,0.0106382978723404,0.0,0.0,0.2765957446808511,0.2340425531914893,0.0106382978723404,0.0,0.0531914893617021,0.0,0.0,0.1382978723404255,0.1063829787234042,0.0957446808510638
1612590121228.0,Alameda,Oakland Unified,Young Adult Program,Oakland,N,N,N,37.838068,-122.27438,Y,0.0,0.0,0.0769230769230769,0.0192307692307692,0.0192307692307692,0.2115384615384615,0.3076923076923077,0.0192307692307692,0.0,0.0576923076923076,0.0,0.0,0.1153846153846153,0.173076923076923,0.0
1612590125161.0,Alameda,Oakland Unified,Castlemont High,Oakland,N,N,N,37.759536,-122.16291,Y,0.81,0.0,0.0092226613965744,0.0184453227931488,0.0013175230566534,0.3517786561264822,0.1620553359683794,0.0039525691699604,0.0013175230566534,0.0039525691699604,0.0144927536231884,0.0039525691699604,0.2503293807641634,0.1567852437417654,0.0052700922266139
1612590125716.0,Alameda,Oakland Unified,Fremont High,Oakland,N,N,N,37.774400,-122.20972,Y,0.849,0.0,0.0274869109947644,0.0274869109947644,0.0026178010471204,0.3468586387434555,0.1230366492146596,0.0157068062827225,0.0,0.013089005235602,0.0143979057591623,0.0013089005235602,0.2971204188481675,0.0994764397905759,0.0052356020942408
1612590126748.0,Alameda,Oakland Unified,LPS Oakland R & D Campus,Oakland,Y,N,N,37.759536,-122.16291,Y,0.936,0.0,0.0028328611898017,0.0028328611898017,0.0084985835694051,0.4192634560906516,0.0339943342776204,0.0028328611898017,0.0,0.0056657223796034,0.0056657223796034,0.0,0.4532577903682719,0.036827195467422,0.0
1612590130146.0,Alameda,Oakland Unified,Rudsdale Continuation High,Oakland,N,N,N,37.766251,-122.15439,Y,0.765,0.0,0.0,0.0,0.0,0.391304347826087,0.2391304347826087,0.0,0.0,0.0144927536231884,0.0,0.0,0.1594202898550724,0.1884057971014492,0.0
