CDSCode,County,District,School,City,Charter,SOCType,Virtual,Magnet,Latitude,Longitude
7616300731125,Contra Costa,Acalanes Union High,Campolindo High,Moraga,N,High Schools (Public),N,N,37.863519,-122.12464
7616300733725,Contra Costa,Acalanes Union High,Las Lomas High,Walnut Creek,N,High Schools (Public),N,N,37.890139,-122.05741
7616300734244,Contra Costa,Acalanes Union High,Miramonte High,Orinda,N,High Schools (Public),N,N,37.842329,-122.14438
7616480110494,Contra Costa,Antioch Unified,Bidwell Continuation High,Antioch,N,Continuation High Schools,C,N,37.999879,-121.79336
7616480117218,Contra Costa,Antioch Unified,Dozier-Libbey Medical High,Antioch,N,Alternative Schools of Choice,N,N,37.948070,-121.76817
7616480730101,Contra Costa,Antioch Unified,Live Oak High (Continuation),Antioch,N,Continuation High Schools,C,N,38.006065,-121.81260
7616480730465,Contra Costa,Antioch Unified,Deer Valley High,Antioch,N,High Schools (Public),C,N,37.965730,-121.77968
7616480730861,Contra Costa,Antioch Unified,Antioch High,Antioch,N,High Schools (Public),C,N,38.006279,-121.81595
7616970737023,Contra Costa,John Swett Unified,John Swett High,Crockett,N,High Schools (Public),N,N,38.052381,-122.22105
7616970737619,Contra Costa,John Swett Unified,Willow High,Crockett,N,Continuation High Schools,N,N,38.052867,-122.22173
7617210107797,Contra Costa,Liberty Union High,Heritage High,Brentwood,N,High Schools (Public),N,N,37.925177,-121.75251
7617210730457,Contra Costa,Liberty Union High,Freedom High,Oakley,N,High Schools (Public),N,N,37.969082,-121.71575
7617210730572,Contra Costa,Liberty Union High,Independence High,Brentwood,N,Alternative Schools of Choice,N,N,37.935661,-121.69596
7617210733980,Contra Costa,Liberty Union High,Liberty High,Brentwood,N,High Schools (Public),N,N,37.934897,-121.69510
7617210733998,Contra Costa,Liberty Union High,La Paloma High (Continuation),Brentwood,N,Continuation High Schools,N,N,37.919921,-121.68167
7617390730440,Contra Costa,Martinez Unified,Vicente Martinez High,Martinez,N,Continuation High Schools,N,N,38.014646,-122.13226
7617390730549,Contra Costa,Martinez Unified,Alhambra Senior High,Martinez,N,High Schools (Public),N,N,38.002496,-122.13371
7617540138115,Contra Costa,Mt. Diablo Unified,Crossroads High,Concord,N,Alternative Schools of Choice,C,N,37.979488,-122.02779
7617540140442,Contra Costa,Mt. Diablo Unified,Glenbrook Academy,Concord,N,Special Education Schools (Public),N,N,37.995602,-122.03579
7617540730044,Contra Costa,Mt. Diablo Unified,Northgate High,Walnut Creek,N,High Schools (Public),C,N,37.910096,-122.00698
7617540730358,Contra Costa,Mt. Diablo Unified,Prospect High (Continuation),Pleasant Hill,N,Continuation High Schools,C,N,37.935744,-122.06813
7617540730655,Contra Costa,Mt. Diablo Unified,Diablo Community Day,Concord,N,District Community Day Schools,C,N,37.944889,-122.04434
7617540731646,Contra Costa,Mt. Diablo Unified,College Park High,Pleasant Hill,N,High Schools (Public),C,N,37.965869,-122.07185
7617540731836,Contra Costa,Mt. Diablo Unified,Concord High,Concord,N,High Schools (Public),C,N,37.976475,-121.98860
7617540734566,Contra Costa,Mt. Diablo Unified,Mt. Diablo High,Concord,N,High Schools (Public),C,N,37.982880,-122.03631
7617540734764,Contra Costa,Mt. Diablo Unified,Olympic Continuation High,Concord,N,Continuation High Schools,C,N,37.980697,-122.02809
7617540737809,Contra Costa,Mt. Diablo Unified,Ygnacio Valley High,Concord,N,High Schools (Public),C,N,37.936674,-122.02325
7617880730184,Contra Costa,Pittsburg Unified,Black Diamond High (Continuation),Pittsburg,N,Continuation High Schools,C,N,38.003966,-121.87774
7617880735407,Contra Costa,Pittsburg Unified,Pittsburg Senior High,Pittsburg,N,High Schools (Public),N,N,38.019548,-121.88137
7617960101477,Contra Costa,West Contra Costa Unified,Leadership Public Schools: Richmond,Richmond,Y,High Schools (Public),C,N,37.934059,-122.36110
7617960133637,Contra Costa,West Contra Costa Unified,Summit Public School: Tamalpais,Richmond,Y,High Schools (Public),C,N,37.977933,-122.32721
7617960730291,Contra Costa,West Contra Costa Unified,Middle College High,San Pablo,N,High Schools (Public),C,N,37.968886,-122.34215
7617960730325,Contra Costa,West Contra Costa Unified,Vista Independent Study / Virtual Academy,San Pablo,N,Alternative Schools of Choice,V,N,37.968325,-122.32609
7617960730598,Contra Costa,West Contra Costa Unified,Hercules High,Hercules,N,High Schools (Public),C,N,37.999740,-122.25197
7617960732164,Contra Costa,West Contra Costa Unified,De Anza High,Richmond,N,High Schools (Public),C,N,37.967737,-122.28509
7617960732941,Contra Costa,West Contra Costa Unified,El Cerrito High,El Cerrito,N,High Schools (Public),C,N,37.906601,-122.29484
7617960733253,Contra Costa,West Contra Costa Unified,Greenwood Academy,Richmond,N,Continuation High Schools,C,N,37.932486,-122.36155
7617960733659,Contra Costa,West Contra Costa Unified,John F. Kennedy High,Richmond,N,High Schools (Public),C,N,37.925364,-122.32931
7617960735316,Contra Costa,West Contra Costa Unified,Pinole Valley High,Pinole,N,High Schools (Public),C,N,37.990205,-122.28511
7617960735902,Contra Costa,West Contra Costa Unified,Richmond High,Richmond,N,High Schools (Public),C,N,37.951989,-122.34739
7618040113118,Contra Costa,San Ramon Valley Unified,Dougherty Valley High,San Ramon,N,High Schools (Public),N,N,37.767646,-121.90229
7618040730051,Contra Costa,San Ramon Valley Unified,California High,San Ramon,N,High Schools (Public),N,N,37.747296,-121.94758
7618040734368,Contra Costa,San Ramon Valley Unified,Monte Vista High,Danville,N,High Schools (Public),N,N,37.844787,-121.98231
7618040736504,Contra Costa,San Ramon Valley Unified,San Ramon Valley High,Danville,N,High Schools (Public),N,N,37.826715,-122.00532
7618040736819,Contra Costa,San Ramon Valley Unified,Del Amigo High (Continuation),Danville,N,Continuation High Schools,N,N,37.826927,-122.01086
7743440790022,Contra Costa,Contra Costa County ROP,Contra Costa County ROP,Pleasant Hill,N,ROC/ROP,No Data,No Data,37.935382,-122.06991
